Source,Material,Environment,Temperature (°C),Salinity (g/L),pH,Dissolved Oxygen (mg/L),Chloride Concentration (ppm),Open Circuit Potential (mV),Polarization Resistance (Ω·cm²),Corrosion Rate (µm/year),Corrosion Potential (mV),Passivation Range (V),Pitting Potential (V),Corrosion Products,Exposure Zone,Weld Type,Image Label
Mendeley,Steel C,Natural Seawater,34.53229911665306,35.5276496683549,8.386680387298048,6.367554955285137,1421.510098575731,-784.1105204993054,1797.786219532261,130.2604578400488,-857.7106690778843,0.45050365041673535,-0.06591959797422653,γ‑FeO(OH),Splash,MIG,
Mendeley,Steel C,Accelerated Chamber,23.220740266364626,35.722924691708386,7.760893623341714,5.400872986801254,10465.138546271966,-825.7134938522433,1099.9286685862255,77.66943071282842,-856.7255623201912,0.4771657103453526,-0.3773572338723327,γ‑FeO(OH),Tidal,Arc,
Mendeley,Steel C,Natural Seawater,15.661014658010968,39.803315837160454,7.515304540290384,6.832724782332799,10048.003238991269,-722.9120058979483,1343.5380863871947,94.93938676497156,-693.7353975393282,0.7942047880050664,-0.421329670148737,Fe₃O₄,Tidal,TIG,
Mendeley,Steel A,Lab Seawater,21.90142496053366,30.753462560061283,8.433436308079482,5.926667951856461,16796.058311187524,-782.1462643860125,1814.2739659201134,96.49053894029163,-862.2442688034408,0.20014251414553075,-0.41979994733496395,Fe₃O₄,Tidal,MIG,
Mendeley,Steel C,Accelerated Chamber,27.687026894027277,33.056970192871816,8.00103988391526,5.511950360489018,6847.767555649939,-745.5301803500407,1647.2922147046638,109.59771731863968,-728.4156778248934,0.3112837457460335,-0.33299556062738106,α‑Fe,Tidal,Arc,
Mendeley,Steel B,Lab Seawater,28.614109031095335,31.90911031150346,8.039377448400062,6.820337457186639,16511.328969048183,-692.1121336117806,1499.2236788687264,114.0183358005124,-777.004152451605,0.4303783339518355,-0.38065498434949124,γ‑FeO(OH),Splash,None,
Mendeley,Steel A,Natural Seawater,25.618691666342727,32.68474856890157,8.18396376939814,4.994896617721151,19391.501543356637,-754.790206917347,2095.823705213952,169.96730331114043,-749.3469676372098,0.7595539456551519,-0.034954824745130675,γ‑FeO(OH),Tidal,None,
Mendeley,Steel B,Lab Seawater,23.955663291461832,34.852798742763156,8.115851164389914,5.321010116076394,2679.756243947285,-744.7125978687343,2040.5764111050075,102.40804985739996,-656.6625628875966,0.24201782344848263,-0.447082953085708,Fe₂O₃,Tidal,Arc,
Mendeley,Steel B,Accelerated Chamber,26.05786178142656,33.72686867094049,8.443891604560758,5.737807377953086,16044.538949923026,-752.4395101170755,1250.0961399900748,120.2347742662069,-808.4664744578415,0.20569126017709885,-0.15050463098020617,α‑Fe,Splash,None,
Mendeley,Steel B,Accelerated Chamber,26.85393447758787,33.94691466809472,8.444251597125167,5.014728695492555,12209.162045615085,-817.4295809170487,2317.9436730601574,143.74639805765784,-680.1810180275054,0.23161030158633716,-0.40538923010749706,α‑Fe,Atmospheric,None,
Mendeley,Steel B,Natural Seawater,16.617066526654305,38.44213140726311,8.367198933555004,5.620808347125669,10120.873373351027,-831.8936081448287,1743.1354396059485,106.65889211602538,-802.2873791572595,0.25312604636817093,-0.05918143361482492,Fe₂O₃,Immersion,None,
Mendeley,Steel A,Lab Seawater,22.393089121228087,39.300168348108315,8.13640359744601,6.285892100820043,8990.179794636428,-635.1234109992457,2112.1913667085682,175.48472199384992,-826.1450182035627,0.22255806392375654,-0.019342355907546294,α‑Fe,Atmospheric,MIG,
Mendeley,Steel A,Accelerated Chamber,19.843198765548518,30.70416130849544,8.3009492946824,6.963895443642674,15908.697014941881,-737.3556721972495,1859.7262738860832,138.11804063511116,-614.4804879403728,0.48786879611390294,-0.2672649956150082,α‑Fe,Splash,None,
Mendeley,Steel B,Natural Seawater,31.062795127597916,32.0891871761536,8.177168342382982,7.068779412434287,13147.865782510604,-864.4763955873709,2496.538923885765,94.10670188314573,-885.4701777623629,0.5484543243363966,-0.06046425988593418,Fe₃O₄,Immersion,None,
Mendeley,Steel B,Accelerated Chamber,24.406012688920768,36.711435168240506,8.073367041671933,7.291161407506772,16295.848682867876,-775.6133057528709,2128.604680058234,157.10887996847424,-918.3820637978372,0.36301218264140245,-0.4974274146226426,γ‑FeO(OH),Splash,None,
Mendeley,Steel A,Accelerated Chamber,34.66846281789686,33.58646781296164,7.62850035323391,6.976846627773192,18159.870114855898,-834.3780315516801,2060.4706918651887,129.14715952171787,-680.1549260625825,0.43897243038538136,-0.09002654129594995,α‑Fe,Splash,MIG,
Mendeley,Steel A,Lab Seawater,22.976488848891062,32.541636490697385,8.311204176736004,6.7241577083876365,12728.010529848549,-623.2078616840439,2167.8579085761266,130.16838368858703,-926.1126031260679,0.2550196010668581,-0.38568741923753824,Fe₃O₄,Tidal,Arc,
Mendeley,Steel A,Accelerated Chamber,31.32863746438768,32.952905884189384,8.320639475743956,4.95002588516988,19628.79177675518,-947.3629729030738,1214.6919783227045,122.1631922581379,-657.0223532539397,0.4018222782970533,-0.04564934536531606,γ‑FeO(OH),Immersion,TIG,
Mendeley,Steel C,Lab Seawater,30.966902499691024,33.225507642386006,8.125939670101573,5.600891571488099,12553.669141295819,-871.1335208006151,1306.816889754195,124.55179232318734,-796.9823112749648,0.5135115149807139,-0.49943994425994526,Fe₂O₃,Tidal,None,
Mendeley,Steel C,Accelerated Chamber,18.01435087930859,38.48669794924675,8.320426843771267,5.91085956352091,13096.242110823368,-822.1251131140798,2071.096123335421,164.80344215993608,-629.5702129478301,0.6393630843107871,-0.2219091324801215,Fe₃O₄,Immersion,Arc,
Mendeley,Steel C,Natural Seawater,25.163975534814373,31.36621331442029,8.151484771857788,4.331565286773417,11541.496562302287,-779.2665697169417,1740.972230696294,65.44722189969733,-697.463498607333,0.20200781722578753,-0.12168209810753267,Fe₃O₄,Splash,None,
Mendeley,Steel B,Accelerated Chamber,28.916256135817637,37.08910996910119,7.706684359876745,6.113480485188837,2729.0397299752753,-652.2138687573488,2131.952937790175,100.15442169657233,-736.3583665472148,0.4803864599225916,-0.370655834651046,γ‑FeO(OH),Splash,MIG,
Mendeley,Steel C,Lab Seawater,32.167176096274396,35.52819976907908,7.773961127321134,5.745343326426224,14801.543620354338,-919.2393314109496,1154.3740461162174,61.325504570583384,-617.742621029782,0.37820172587292933,-0.40343356770635347,Fe₂O₃,Atmospheric,Arc,
Mendeley,Steel B,Lab Seawater,21.519178104037696,32.96510143647799,7.714589119708374,7.208436996106936,11401.47983108312,-667.9472896405998,1804.7220272268921,162.98693311211764,-811.1727194317809,0.7116930930151408,-0.4579508877660077,Fe₃O₄,Immersion,MIG,
Mendeley,Steel B,Natural Seawater,19.404820951310967,34.19780856446276,7.877259083227976,7.911602675017083,9567.298500905985,-930.5212787250587,1568.2323483353734,90.84527820804492,-616.0695722111284,0.6293319891405452,-0.3367832117483535,α‑Fe,Tidal,None,
Mendeley,Steel C,Accelerated Chamber,29.22299064876036,32.56206943594458,7.538963132310234,6.224020154570338,18298.954289662186,-655.1900876456364,1685.5003289225174,184.61456147283263,-902.7495529025775,0.553465120682537,-0.22007784384558526,α‑Fe,Atmospheric,None,
Mendeley,Steel B,Accelerated Chamber,31.190020922794307,36.1151371086568,8.118253884337893,5.290745553110335,6661.229579297059,-931.9275827439205,1905.9368081087687,128.98676999889406,-780.6857703236556,0.3663593874180642,-0.44207807160987117,α‑Fe,Atmospheric,MIG,
Mendeley,Steel C,Natural Seawater,21.973319745834587,30.815941804002403,7.836554214888727,4.173603133192691,10948.443244285212,-943.6151315000736,1753.4325211937953,170.11246572291816,-855.5310721627318,0.7462034612345207,-0.3116523190066006,Fe₂O₃,Atmospheric,TIG,
Mendeley,Steel C,Accelerated Chamber,16.923531021828417,30.05184862773987,8.155722635380743,7.6985733208943845,14255.195558375804,-706.0634881717524,1809.790955669255,196.8397153423942,-761.0550273821323,0.22706040633219393,-0.4954637976736375,Fe₃O₄,Tidal,MIG,
Mendeley,Steel A,Accelerated Chamber,33.81046528979208,36.278944149486364,7.885396620965565,7.676462861114638,16132.963737803668,-600.9605628310619,1729.5362229934117,175.96832891848558,-893.2951427379454,0.26568055920746914,-0.09066028975007911,α‑Fe,Atmospheric,None,
Mendeley,Steel C,Lab Seawater,22.951440421750448,31.942739535120424,8.18161366897279,5.011960671956965,9727.589350977276,-636.1864079590928,1613.4327656282398,180.04906400172854,-655.4646188914849,0.4349780843242137,-0.4357756409534043,Fe₂O₃,Tidal,MIG,
Mendeley,Steel A,Accelerated Chamber,25.355027010549602,30.709409169999276,7.84062456946424,6.78164449242659,16999.736885355484,-748.400553768019,2157.8229708973677,111.1976743047267,-653.757252739905,0.27466253437811383,-0.3583285258672092,α‑Fe,Atmospheric,TIG,
Mendeley,Steel C,Accelerated Chamber,31.75420211814656,33.967838272138884,7.760694528235903,4.301738188359077,15609.437084992553,-628.911535420064,1018.3046084770667,132.75838928890096,-615.6672905467824,0.773849418535655,-0.49078614063089127,γ‑FeO(OH),Tidal,MIG,
Mendeley,Steel C,Natural Seawater,28.513802340785617,30.50768531039397,7.996037454293406,4.664861727637012,2258.483579185451,-948.1449977608381,1897.6640518078407,88.08328460649565,-895.8647506908674,0.6787935932860301,-0.28387960805374385,Fe₃O₄,Splash,TIG,
Mendeley,Steel A,Natural Seawater,29.70432238481544,38.8661714895066,8.192890358691939,4.867236426345965,1871.3640616880261,-608.7264929692001,1848.2625209844607,79.41696495401791,-731.8336071832532,0.35538959096108824,-0.07993924862939061,Fe₃O₄,Splash,TIG,
Mendeley,Steel A,Lab Seawater,19.181432414754273,30.276167718737046,7.8483366044531975,5.1779757873577195,12795.308004019735,-778.2379272594254,2074.2686120994285,125.82618186590507,-784.0169419548706,0.5531325373839473,-0.3039243942774017,Fe₂O₃,Splash,MIG,
Mendeley,Steel C,Accelerated Chamber,25.82895947655132,35.78864895507559,8.436648151855707,7.983325500117482,7600.85475628287,-696.9863661823786,1898.5440471659897,139.2573469550631,-829.4656937845184,0.789398309048049,-0.4102513382880833,Fe₂O₃,Splash,MIG,
Mendeley,Steel B,Accelerated Chamber,28.915687986901645,34.38474123018087,7.5391863266756465,6.787700223455259,4973.485030491769,-662.6984843963266,2240.198241713618,100.89068688442865,-826.9609436030235,0.7305193868789019,-0.12315058297474041,Fe₃O₄,Splash,Arc,
Mendeley,Steel A,Accelerated Chamber,19.571000435945994,36.720261352951994,7.917946031715578,5.53680732551688,12013.34875496303,-698.5399552072063,2438.6121918460417,135.41652766452506,-805.5222572876366,0.5604790678653189,-0.10559650906462786,α‑Fe,Atmospheric,None,
Mendeley,Steel B,Lab Seawater,18.499098541918723,33.28152667474732,8.467580551520248,6.948402823372077,7489.700998674356,-762.7371437842813,1513.786385767815,183.11907237702545,-703.2760576088665,0.7422343803051623,-0.4131232623462166,α‑Fe,Atmospheric,TIG,
Mendeley,Steel B,Lab Seawater,34.64336686658871,31.55041616727744,8.047971883248087,7.661017366676425,11208.004917567332,-783.1831805557558,1341.0264745449806,133.50823771750493,-740.5998796061459,0.7935109458880154,-0.1145729457295051,γ‑FeO(OH),Atmospheric,Arc,
Mendeley,Steel B,Natural Seawater,25.332717825420286,39.81840888310531,7.923470942308119,7.834809629631385,9742.264020687868,-656.4961044540813,1635.3952936307244,158.121964446576,-789.1114705336041,0.6460116937361746,-0.02635105587183101,α‑Fe,Tidal,MIG,
Mendeley,Steel A,Lab Seawater,20.21658349660818,38.389335020693636,8.068520283749958,4.23145559103083,12110.55601303392,-878.2228539476894,1431.8944247135892,170.79724510368578,-923.4233063706323,0.23899184568973642,-0.41681120653386383,Fe₂O₃,Tidal,None,
Mendeley,Steel B,Accelerated Chamber,34.925073995158485,38.60404618311675,8.075924575258085,5.57808719443252,8605.709289295346,-611.2020767235181,1922.4253947289817,198.3093172933164,-922.782129572365,0.4409481418552925,-0.11450785373393224,Fe₂O₃,Tidal,Arc,
Mendeley,Steel A,Accelerated Chamber,34.30838702577587,32.50251360515864,8.23164775529964,4.4270242637435375,14255.683900241704,-701.1666324071381,2367.778613264447,140.47961032654695,-949.1812132809777,0.7026954411699473,-0.14571399769868532,α‑Fe,Tidal,TIG,
Mendeley,Steel B,Lab Seawater,26.165869072141952,30.388347344294232,7.627689729422466,5.342640259187853,4421.278174636673,-880.172575431588,1208.6742912145928,171.0275223443879,-611.3052141275198,0.33834151748301144,-0.26321305578245574,Fe₂O₃,Splash,Arc,
Mendeley,Steel C,Accelerated Chamber,32.652726863786796,33.032655146732225,7.750016449216105,4.678719615582262,14233.527858314501,-692.3134857055292,1151.1919045238296,194.3973977832312,-948.1611635045653,0.6983855106503749,-0.47103976972060085,Fe₃O₄,Splash,TIG,
Mendeley,Steel C,Accelerated Chamber,18.774142166827588,35.370824271966555,8.08054401234391,6.587393446674895,8821.563072793033,-764.5559918866091,1384.0232977804933,191.661458836591,-913.9171888951893,0.2722032572209976,-0.462652791121073,Fe₃O₄,Splash,MIG,
Mendeley,Steel A,Lab Seawater,20.577427051843635,33.266512417960406,8.367116607209722,5.553073535959489,17612.034492233925,-702.4694665244444,2089.143379093601,71.16227731665704,-839.8912051167061,0.2281672142886878,-0.07379267040067616,α‑Fe,Immersion,None,
Mendeley,Steel C,Lab Seawater,29.007156599455428,38.27869003787589,8.061866692143774,4.917578982819799,10789.485042420007,-681.2771744950064,1889.4443578882324,110.95884624102831,-667.3994118641335,0.4304543668947498,-0.004925813624676478,Fe₃O₄,Atmospheric,None,
Mendeley,Steel C,Accelerated Chamber,31.933222844766117,32.715429158197416,7.7385968597903405,5.063751699856956,19489.09663613198,-919.4484371436135,1153.3189963377995,98.59850916601994,-613.2654249825589,0.2220391624559682,-0.16197387140662278,Fe₃O₄,Tidal,None,
Mendeley,Steel B,Accelerated Chamber,32.126485837561845,39.6525183039077,8.179844779900247,5.441380380821073,12436.772515278244,-772.8636152742286,2378.1257833911195,63.0387522425524,-673.4952544228504,0.7743621577899955,-0.27702084649483927,γ‑FeO(OH),Tidal,MIG,
Mendeley,Steel A,Accelerated Chamber,23.0901625424438,34.572651616137286,8.239908760447374,5.039799451417051,5253.132252220091,-623.794980210073,2185.12695568613,144.98611623664408,-708.3039186440258,0.6957234174763796,-0.1762131782990462,γ‑FeO(OH),Splash,TIG,
Mendeley,Steel B,Natural Seawater,32.7554019752192,38.42023075011981,7.73823615240398,5.812963387315325,16614.022100044534,-837.77523274417,1034.5339071814562,160.38569197940035,-767.5447664052507,0.6804618122779251,-0.20280207038572734,Fe₃O₄,Tidal,MIG,
Mendeley,Steel B,Natural Seawater,32.018568975350256,31.94380033994873,7.877728886176294,4.129263804438602,7556.569928625348,-742.1409158547355,1977.050816482369,177.2192143200325,-919.6531758482357,0.5778667537976919,-0.3081938697971891,α‑Fe,Tidal,None,
Mendeley,Steel B,Natural Seawater,33.71269988441895,34.113539050566786,8.034327473530563,5.119054028675783,7604.765075170987,-820.7693314715364,2156.8700027796067,68.41653344940627,-614.6402224486244,0.32979441382193214,-0.4671869277129935,γ‑FeO(OH),Atmospheric,MIG,
Mendeley,Steel B,Lab Seawater,30.706813022278872,36.99512210767194,7.996561190683078,5.644826883488745,1604.2889482181376,-791.0062097233151,1561.6530545806331,181.4666113812941,-684.5626551190114,0.5109562200058353,-0.08924352629627952,Fe₂O₃,Splash,MIG,
Mendeley,Steel B,Natural Seawater,28.379765094284572,31.383530924178014,7.889618086219204,6.4111275280931945,11425.590874940764,-757.9889087216463,1103.382309050828,146.43883454213798,-726.3677151330083,0.5583644434582047,-0.3140832353806377,Fe₂O₃,Atmospheric,MIG,
Mendeley,Steel B,Lab Seawater,26.613732428729094,31.327454222429697,7.797635174509311,5.0838305700605195,11154.046570917937,-757.8773070388579,1115.9815982331809,155.59192027077643,-684.3374540614026,0.515018900516161,-0.09060717832145315,Fe₂O₃,Immersion,TIG,
Mendeley,Steel B,Lab Seawater,22.44565533123486,39.695368671141594,7.599984887161863,4.532740500894999,7763.838201167737,-879.3943381844174,1156.3704490777143,186.59360053104558,-696.5638347544015,0.35614002077091644,-0.3737456251558089,α‑Fe,Immersion,Arc,
Mendeley,Steel A,Natural Seawater,33.802668849155566,37.14595104179952,7.553485296747369,4.304801518396653,17990.12799502259,-710.3999582420583,2260.6594479706346,143.71419065648766,-726.9689470736796,0.5091487545888356,-0.4994852600771833,Fe₃O₄,Immersion,Arc,
Mendeley,Steel C,Natural Seawater,34.473276735106346,30.410675167678757,8.458541496883198,7.762127308541533,3446.2195676932342,-919.2461610650702,2366.0292973835694,100.37987857247526,-606.7981199370041,0.49471180452117597,-0.42053085836162174,Fe₂O₃,Splash,MIG,
Mendeley,Steel B,Natural Seawater,20.678419494749313,33.988209014447946,8.34714314409559,5.666556230953917,7271.890752892953,-901.4113292952928,1184.2161727686007,173.76609971339897,-633.8226655773913,0.7978014654840346,-0.2657302916157078,α‑Fe,Tidal,Arc,
Mendeley,Steel B,Accelerated Chamber,21.10727720688787,34.33520737580742,7.854905190462721,6.324650484723305,7110.072528920551,-949.0511852049846,1353.8590518926217,104.45888182926358,-723.6672783089928,0.7384616888277225,-0.027848182521085063,γ‑FeO(OH),Splash,Arc,
Mendeley,Steel B,Natural Seawater,24.712275071724534,37.440426429991156,8.456800885126457,7.676706207342239,2753.5211383461756,-909.1563775504115,1248.2807655509346,55.13421662307937,-707.3886759900763,0.478028448929372,-0.4489031901531405,Fe₃O₄,Splash,MIG,
Mendeley,Steel B,Accelerated Chamber,23.968482859724947,32.508605273466614,8.176769904424303,4.3309936801412245,10141.76248706957,-784.3918296318377,1279.4813192411812,174.59817598478747,-931.9414676694515,0.5737624297610713,-0.07289511276921701,γ‑FeO(OH),Tidal,MIG,
Mendeley,Steel B,Lab Seawater,34.88914925221641,31.8433367433137,7.982520949642643,7.506645943703171,14067.909624825577,-737.8643416304565,2256.236183503738,101.77882173219135,-715.5288874074863,0.6487229624553372,-0.23648795189406896,α‑Fe,Atmospheric,None,
Mendeley,Steel B,Accelerated Chamber,18.518505053546907,30.808729666171978,7.993025657771805,6.20635149017628,10721.483257397964,-671.9986925117382,1498.2196189824085,166.07517848020103,-934.5420968014649,0.22091909614029495,-0.0870396171000517,Fe₂O₃,Immersion,Arc,
Mendeley,Steel C,Natural Seawater,15.361507272310417,34.283144749401075,7.58328441119526,4.659337044548003,3982.575971607681,-912.6552624602974,1467.1663960684618,104.41368419989182,-744.1076850605241,0.7369528647367041,-0.3508127845050037,Fe₂O₃,Atmospheric,TIG,
Mendeley,Steel C,Lab Seawater,24.87787430366869,36.88499900765366,7.591704147258481,5.645020466341476,8168.433339599379,-652.2453889942408,1341.093431315669,179.16020299620823,-600.2262751519578,0.7160760898507543,-0.08002641766376406,α‑Fe,Immersion,MIG,
Mendeley,Steel B,Lab Seawater,18.576454184426577,30.581935955084436,8.102440925901119,7.110409134940902,1049.3054632892847,-688.9089160579487,1911.841590691388,82.9265787621438,-755.4676964969872,0.47445925866422445,-0.11358860999159776,Fe₂O₃,Splash,None,
Mendeley,Steel C,Lab Seawater,22.329375691657198,39.1521372762648,8.053703052345801,5.921480327465419,17497.72103367615,-807.0185974724291,1568.9585475783233,196.18208977983048,-784.3764586715333,0.43470185964822794,-0.38497315848428304,Fe₃O₄,Immersion,TIG,
Mendeley,Steel A,Accelerated Chamber,29.883410461131245,34.423522297311045,7.712727895024229,7.941144202662017,2605.823145932957,-623.4716765150158,2116.3744777649335,166.9638162182046,-840.5008002230444,0.363775624913789,-0.43433243679531097,α‑Fe,Splash,Arc,
Mendeley,Steel B,Natural Seawater,29.418798485042586,32.39787359157403,8.44619454288169,5.506955879751763,12348.283562853181,-603.1746832399133,1308.3697125634562,67.13568888805952,-907.8170974247374,0.4860060969982211,-0.06597283873385357,γ‑FeO(OH),Atmospheric,None,
Mendeley,Steel A,Lab Seawater,21.161215837047784,30.938732900812916,8.281296050471202,6.998313199904288,19738.88292146949,-878.2493664813669,2181.6848330717385,134.86649299498407,-694.1417149896015,0.22662599811994208,-0.018381673279934063,α‑Fe,Splash,MIG,
Mendeley,Steel A,Lab Seawater,25.850804611097985,31.828659971073073,7.613464602017448,5.571957795915436,11195.222273759318,-817.2699952626699,1905.5822975952085,197.8050968362602,-882.5903402750293,0.7113161200082048,-0.4843488431262419,Fe₃O₄,Atmospheric,TIG,
Mendeley,Steel B,Lab Seawater,25.1762815367752,39.3461399733971,8.430929105687293,7.316656882826058,18556.79342304123,-625.7427017436012,1171.4009500835316,120.65981790407216,-909.6512925634505,0.22125342105112705,-0.1343649665131572,Fe₃O₄,Tidal,MIG,
Mendeley,Steel C,Accelerated Chamber,27.726652363717907,36.3827059384335,8.47424820853441,6.276325876662991,5486.214129230682,-697.441207237053,1621.7568763054414,77.31607082323748,-802.3830690943206,0.39743081922192264,-0.045237744526090806,α‑Fe,Tidal,Arc,
Mendeley,Steel A,Accelerated Chamber,20.009236372111683,35.16696257426567,8.495931242030329,4.254047318360005,15439.152769814127,-933.1668746125694,2295.2772109194357,122.71675507255192,-671.6303567143159,0.758953692991394,-0.07131995395375068,α‑Fe,Tidal,TIG,
Mendeley,Steel B,Natural Seawater,26.797416951210877,36.57111328500167,7.55587115467735,4.147287470543965,11094.049325497146,-676.4699313870049,2384.4403476977272,126.86864838228824,-689.2274081579228,0.6411275927140717,-0.01773976386489573,Fe₂O₃,Splash,Arc,
Mendeley,Steel A,Accelerated Chamber,34.57785716550018,34.35672898677891,8.237035556791009,4.535408475202533,14689.805166437833,-660.2206894878778,1698.5501834782199,161.25304163429985,-930.7910848737338,0.36883457634651606,-0.11995296078095141,Fe₃O₄,Tidal,Arc,
Mendeley,Steel A,Lab Seawater,24.734843059189103,37.30039316561819,8.045915770164989,4.05468785930799,2184.4858877135875,-687.3243263321403,1721.2554671336102,154.82687797413567,-790.6997102373454,0.35158945637653105,-0.27885061880954487,α‑Fe,Immersion,None,
Mendeley,Steel A,Natural Seawater,33.12197575437108,30.477161276916487,8.205831483878695,4.301436241409849,3807.042746218307,-670.1620041781696,2377.6820874089517,110.38250653954708,-767.1478983750909,0.20304928389081559,-0.3440240047524348,α‑Fe,Atmospheric,MIG,
Mendeley,Steel A,Lab Seawater,23.687887310208573,35.66037210494076,8.468651943974136,6.766857588675649,3529.221643162087,-661.203563157521,1880.6023362048509,82.70346612411296,-724.4086722809623,0.6174285757098501,-0.3396286297809363,Fe₃O₄,Atmospheric,TIG,
Mendeley,Steel C,Lab Seawater,22.001568153893516,31.58646447642491,8.188030010175039,6.137385100117852,14056.144602663291,-884.7582546241496,1049.2700053651574,146.7581251653994,-722.4414273448701,0.22927014900390386,-0.13778866369294152,α‑Fe,Immersion,Arc,
Mendeley,Steel A,Accelerated Chamber,27.902067240611295,31.20164647805642,8.336963874237373,6.999642997879887,17044.372780038946,-867.50788887725,2369.1241943186933,113.25559018299228,-822.355962689943,0.5195615116404573,-0.12708149398451785,Fe₂O₃,Splash,Arc,
Mendeley,Steel A,Natural Seawater,28.378481193261994,33.41879666716402,8.366868705310841,7.652663009030571,15242.70840816316,-728.184502697938,1372.3396641357278,69.84143166879956,-753.7629820987701,0.77727318355523,-0.3998204282256437,Fe₃O₄,Splash,TIG,
Mendeley,Steel A,Accelerated Chamber,32.28335130143806,30.917990658134418,8.338480763763986,6.340598129301888,1578.970901938289,-632.2468543381194,1866.4479311373207,185.08584518545786,-781.6283406545697,0.26568131603267237,-0.0659385932547345,Fe₂O₃,Atmospheric,Arc,
Mendeley,Steel C,Accelerated Chamber,19.603705364831107,30.941569882685602,7.926091475046941,6.904483376287392,17477.084640419744,-839.3311961962269,1248.2699761419608,153.68327864144817,-640.2505752168516,0.7366879585808406,-0.14253797989887618,Fe₂O₃,Tidal,None,
Mendeley,Steel A,Natural Seawater,24.983867597695046,33.11413309391294,7.72257641757103,7.028324808169824,7728.786745069384,-744.0926634717301,1050.8187403698926,152.4775784668222,-764.4072035777849,0.7948852010870291,-0.21862485682830868,Fe₂O₃,Splash,None,
Mendeley,Steel A,Lab Seawater,26.440083984183662,39.79510528621508,7.896651601954252,5.511402197103146,8546.112817577567,-710.9562778040037,1467.209756699136,173.3875813867511,-795.6387433881434,0.23691021574354104,-0.26423376994874365,Fe₂O₃,Splash,None,
NIST,Steel A,Lab Seawater,16.42560540110328,33.78476423485869,8.119497751407588,7.129939698255752,5126.972856133,-919.7513862331087,2197.889908574127,129.90138301423326,-892.1786212317525,0.2595813216522158,-0.11870180265291236,γ‑FeO(OH),Atmospheric,Arc,
NIST,Steel C,Accelerated Chamber,34.09320060066615,33.62944271845992,7.797355048236839,4.91136967017244,3618.6350840254727,-867.1254917410151,2451.6338156550833,145.26336588645782,-813.5446764704595,0.325318442423444,-0.03537130099638536,γ‑FeO(OH),Splash,TIG,
